word,count,normalized_count
about,1226734006,1.0
other,978481319,0.7976312013967273
which,810514085,0.6607089075836706
their,782849411,0.6381574222048589
there,701170205,0.5715747681001353
first,578161543,0.4713014721791286
would,572644147,0.4668038419080069
these,541003982,0.44101164502975393
click,536746424,0.437541000228863
price,501651226,0.40893235497378067
state,453104133,0.3693580929393426
email,443949646,0.36189560559063855
world,431934249,0.35210098268034806
music,414028837,0.33750498068445983
after,372948094,0.30401708290134416
video,365410017,0.29787224876197
where,360468339,0.2938439280536257
books,347710184,0.2834438291425338
links,339926541,0.27709881631829486
years,337841309,0.2753989922408656
order,336631187,0.27441253389367604
items,330505325,0.2694188987861155
group,321842984,0.2623575953921995
under,313296421,0.25539067105636265
games,305930896,0.2493864965866121
could,302311431,0.2464360077420076
great,301487430,0.24576430467029867
hotel,297974790,0.24290089664311465
store,291308910,0.2374670536360757
terms,277705910,0.22637826019473695
right,273620358,0.2230478299792074
local,270742935,0.22070223347179307
those,270014141,0.22010814054175654
using,269448880,0.21964735523929058
phone,256643812,0.20920901413407136
forum,254478181,0.20744365099144402
based,252405204,0.2057538168547355
black,244690155,0.19946471998266266
check,244491090,0.19930244764079688
index,242826246,0.1979453123597521
being,242783091,0.19791013358441129
women,242520455,0.19769603990255732
today,239271204,0.19504733938222626
south,238581133,0.19448481238238374
pages,234001114,0.19075130619636543
found,232005894,0.1891248574387364
house,231310420,0.1885579260611122
photo,227125249,0.18514628916221632
power,226596368,0.18471515984044548
while,226194991,0.18438796829114723
three,223417394,0.18212374720783603
total,222649459,0.18149774760544138
place,220970235,0.18012889014181285
think,217856550,0.17759069931578958
north,217809513,0.17755235604025474
posts,216822128,0.1767474668016988
media,216432510,0.1764298608674911
water,215178488,0.17540761644134287
since,214302926,0.17469388225306928
guide,213378807,0.17394056572684594
board,212361059,0.17311092540137835
white,209863729,0.1710751703087621
small,208371878,0.1698590541884758
times,202950880,0.16544000492964242
sites,202755734,0.16528092724935842
level,202563642,0.16512433910632132
hours,198242904,0.16160219169794499
image,197874283,0.16130170194368934
title,196676017,0.16032490828333654
shall,191963867,0.15648369252103378
class,191087771,0.15576952303056968
still,190433487,0.1552361686140459
money,190205072,0.15504997095515424
every,189325890,0.1543332858419187
visit,187062316,0.152488082245272
tools,185555874,0.15126007194097463
reply,184777992,0.15062596381631568
value,182061247,0.14841134761858066
press,179652730,0.14644799045376752
learn,179428286,0.14626502984543496
print,178250872,0.1453052341650012
stock,176295589,0.14371134095715285
point,175527859,0.1430855084651497
sales,173244220,0.14122394842945277
large,165863763,0.13520760180182043
table,165341452,0.13478182816430379
start,161913408,0.13198738048189396
model,161205740,0.13141050888908024
human,160573748,0.13089532630107917
movie,158421100,0.12914054654485546
march,158281269,0.129026560139232
yahoo,155733641,0.12694980349309726
going,155284081,0.12658333448041711
study,152978354,0.12470376891141632
staff,151553180,0.12354200605734247
again,150781416,0.12291288515890379
april,149976767,0.12225695730815177
never,149556758,0.12191457746219843
users,149320234,0.12172176956835742
topic,149001702,0.12146211099653824
below,145701629,0.11877198177222455
party,144707500,0.11796159500937484
login,144200144,0.11754801227871073
legal,142048771,0.11579427186760485
above,141894620,0.11566861218975616
quote,139242226,0.11350645316666962
story,138433809,0.1128474537454047
rates,137089538,0.11175164080354026
young,136341684,0.1111420106829581
field,135289140,0.1102840056102594
paper,134939426,0.10999892832513522
girls,132325396,0.1078680425852644
night,130531484,0.10640569460173585
texas,129399241,0.10548272108468802
poker,129054826,0.10520196339939075
issue,128427156,0.10469030398754593
range,128314924,0.10459881553165325
court,127719981,0.10411383427484441
audio,127014703,0.1035389109446437
light,126699632,0.10328207368533648
write,126645151,0.10323766226465886
offer,126228968,0.10289840126923162
given,125542966,0.10233919120686706
files,125524478,0.10232412029507235
event,125515260,0.10231660603366366
china,124472054,0.10146621304309061
needs,123595776,0.10075189519120578
might,123196001,0.10042600954847909
month,123027963,0.10028902956815888
major,122592252,0.09993384988138986
areas,121986327,0.09943991639863288
space,121505269,0.09904777107809302
cards,121094522,0.0987129413611446
child,119747393,0.09761479865587096
enter,119394206,0.09732689027616309
share,119294241,0.0972454015430628
added,118410414,0.09652492995290782
radio,113285624,0.09234734135184641
until,113090086,0.09218794412388695
color,112965658,0.0920865138224594
track,112385243,0.09161337539378524
least,111229798,0.090671488241111
trade,110086585,0.08973957228018671
david,109067044,0.08890847035017305
green,108287905,0.08827333755350383
close,107853068,0.08791887032762341
drive,107799371,0.08787509800229668
short,106755242,0.08702395260737558
means,105946662,0.08636482031297012
daily,105837757,0.08627604393645545
beach,105642682,0.08611702413342898
costs,101090970,0.08240659303937156
style,101024266,0.08235221776349778
front,100886343,0.08223978670727418
parts,100637505,0.08203694077752663
early,100013194,0.08152801953058436
miles,100012522,0.08152747173456933
sound,100010833,0.08152609490797795
works,98581698,0.08036110315507142
rules,97658641,0.07960865234219325
final,97649084,0.07960086173725912
adult,97583096,0.0795470701249966
thing,97451660,0.07943992709369793
cheap,97049762,0.07911231083945348
third,95489240,0.0778402159987077
gifts,95412416,0.07777759117570268
cover,94501729,0.07703522404839896
often,92551460,0.07544541811617474
watch,92006970,0.07500156476464385
deals,91189968,0.07433556708625227
words,90910143,0.07410746140186482
linux,90854231,0.07406188346913732
james,90535679,0.0738022085938653
heart,90249265,0.07356873173694346
error,89396475,0.07287356066006048
clear,88447610,0.07210007187165235
makes,87829598,0.07159628539717844
india,87391857,0.07123945090994731
taken,87019836,0.07093618956871078
known,86395556,0.07042729359212041
cases,86255673,0.0703132647975196
quick,85584600,0.0697662244475189
whole,85202530,0.06945477143640869
later,84857974,0.06917389881176898
basic,84840226,0.06915943112772892
shows,84804638,0.0691304207637658
along,83444756,0.06802188216179604
among,83431590,0.068011149598799
death,83216831,0.06783608393749867
speed,83135749,0.06776998810938645
brand,82807581,0.06750247453399445
stuff,81444510,0.06639133634647118
japan,81110725,0.0661192439463523
doing,80821946,0.0658838392061335
loans,80821333,0.0658833395053043
shoes,80755612,0.06582976554413704
entry,80717798,0.0657989406058741
notes,79958318,0.06517983328816271
force,79199815,0.06456152239412201
river,78843808,0.06427131522756531
album,77914316,0.06351361877873955
views,77333335,0.06304001896235034
plans,77295630,0.06300928287790532
build,77203075,0.06293383457407799
types,77070740,0.06282595870257468
lines,76806341,0.06261042787135389
apply,76341478,0.06223148427174195
asked,75532722,0.06157220850695159
cross,74230978,0.060511062412009146
weeks,73571749,0.05997367696677351
lower,72606927,0.05918718046852612
union,72603888,0.05918470315886882
names,71918906,0.058626324572598504
leave,70957750,0.05784281649725458
teens,70859771,0.05776294669702015
woman,70613606,0.05756227972374314
cable,70082598,0.05712941652976399
score,69315004,0.05650369490124007
shown,68755779,0.05604782998083775
flash,68391647,0.055750999536569465
ideas,67309657,0.05486899089027129
allow,67052567,0.05465941815588668
homes,66753480,0.054415610616080044
super,66703287,0.05437469465568887
asian,66078353,0.053865265556191
cause,65904680,0.05372369207803635
focus,65626732,0.05349711647269685
rooms,65453403,0.05335582341393086
voice,64600528,0.05266058304737335
comes,64256803,0.05238038783119867
brown,64112042,0.05226238262445298
